Id,Creation Time,Owner,Tags,Running Time,logs/seed,logs/company,logs/imputation,logs/missingness,logs/smape (last),properties/data
EX4-469,2021-08-04 21:34:14,mavantwout,"[""20-step-ahead"",""time-lag"",""4-year"",""single_run"",""seed2"",""3D-prediction"",""20-predictions"",""shifted30""]",317.267,2,KO,globalmean,90,0.011595231865406588,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-468,2021-08-04 21:34:12,mavantwout,"[""presence"",""single_run"",""4-year"",""20-step-ahead"",""seed2"",""3D-prediction"",""shifted30"",""20-predictions""]",266.517,2,KO,globalmean,985,0.00591717559182939,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-467,2021-08-04 21:34:11,mavantwout,"[""4-year"",""time-lag"",""20-predictions"",""3D-prediction"",""seed2"",""20-step-ahead"",""shifted30"",""single_run""]",317.522,2,KO,cubicfit260,90,0.03502151744769498,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-466,2021-08-04 21:33:59,mavantwout,"[""20-step-ahead"",""3D-prediction"",""seed2"",""time-lag"",""single_run"",""20-predictions"",""shifted30"",""4-year""]",306.45,2,KO,meanlast260,90,0.007695686401704221,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-465,2021-08-04 21:33:49,mavantwout,"[""20-predictions"",""presence"",""4-year"",""20-step-ahead"",""shifted30"",""3D-prediction"",""single_run"",""seed2""]",281.094,2,KO,meanlast260,90,0.005871978812575377,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-464,2021-08-04 21:33:41,mavantwout,"[""shifted30"",""7D-prediction"",""seed3"",""single_run"",""20-predictions"",""20-step-ahead"",""4-year"",""presence""]",312.594,3,KO,5_imputations_combined,90,0.0059943181293650675,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-463,2021-08-04 21:33:39,mavantwout,"[""3D-prediction"",""4-year"",""20-step-ahead"",""presence"",""single_run"",""seed1"",""20-predictions"",""shifted30""]",321.696,1,KO,linearfit260,985,0.04454260976585189,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-462,2021-08-04 21:33:25,mavantwout,"[""4-year"",""single_run"",""3D-prediction"",""seed2"",""shifted30"",""20-predictions"",""20-step-ahead"",""presence""]",266.616,2,KO,globalmean,90,0.00599948077667211,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-461,2021-08-04 21:33:21,mavantwout,"[""3D-prediction"",""time-lag"",""seed2"",""shifted30"",""4-year"",""20-predictions"",""single_run"",""20-step-ahead""]",326.868,2,KO,linearfit260,33,0.00587601725032078,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-460,2021-08-04 21:33:21,mavantwout,"[""shifted30"",""4-year"",""presence"",""3D-prediction"",""20-predictions"",""seed2"",""20-step-ahead"",""single_run""]",346.611,2,KO,forwardfill,33,0.007243755856216456,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-459,2021-08-04 21:33:20,mavantwout,"[""7D-prediction"",""shifted30"",""seed3"",""20-step-ahead"",""4-year"",""presence"",""20-predictions"",""single_run""]",312.021,3,KO,5_imputations_combined,33,0.0071538087246680315,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-458,2021-08-04 21:33:15,mavantwout,"[""20-predictions"",""shifted30"",""3D-prediction"",""4-year"",""single_run"",""seed2"",""presence"",""20-step-ahead""]",341.957,2,KO,meanlast260,33,0.006002812695426687,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-457,2021-08-04 21:33:10,mavantwout,"[""4-year"",""seed2"",""20-step-ahead"",""single_run"",""20-predictions"",""3D-prediction"",""shifted30"",""presence""]",336.634,2,KO,linearfit260,33,0.006940121994580101,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-456,2021-08-04 21:33:10,mavantwout,"[""3D-prediction"",""4-year"",""shifted30"",""20-predictions"",""time-lag"",""20-step-ahead"",""single_run"",""seed2""]",316.49,2,KO,meanlast260,33,0.005891362629698211,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-455,2021-08-04 21:33:06,mavantwout,"[""20-step-ahead"",""seed2"",""shifted30"",""3D-prediction"",""presence"",""single_run"",""4-year"",""20-predictions""]",336.905,2,KO,globalmean,33,0.006657225392165215,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-454,2021-08-04 21:33:02,mavantwout,"[""single_run"",""4-year"",""20-step-ahead"",""3D-prediction"",""time-lag"",""seed2"",""20-predictions"",""shifted30""]",322.096,2,KO,cubicfit260,33,0.0075183089196029715,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-452,2021-08-04 21:33:02,mavantwout,"[""20-predictions"",""4-year"",""seed2"",""single_run"",""3D-prediction"",""20-step-ahead"",""shifted30"",""time-lag""]",311.312,2,KO,forwardfill,33,0.0058936205290786355,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-453,2021-08-04 21:33:02,mavantwout,"[""shifted30"",""20-step-ahead"",""seed2"",""4-year"",""3D-prediction"",""single_run"",""presence"",""20-predictions""]",311.262,2,KO,cubicfit260,33,0.006540956282260787,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-450,2021-08-04 21:30:54,mavantwout,"[""20-predictions"",""time-lag"",""4-year"",""single_run"",""20-step-ahead"",""seed2"",""shifted30"",""7D-prediction""]",322.301,2,KO,5_imputations_combined,33,0.013759062787126583,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-448,2021-08-04 21:30:01,mavantwout,"[""4-year"",""single_run"",""20-step-ahead"",""presence"",""3D-prediction"",""20-predictions"",""seed1"",""shifted30""]",281.339,1,KO,forwardfill,985,0.006566788134213322,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-447,2021-08-04 21:29:52,mavantwout,"[""20-predictions"",""single_run"",""4-year"",""3D-prediction"",""seed1"",""shifted30"",""presence"",""20-step-ahead""]",327.72,1,KO,cubicfit260,90,0.006163382390072829,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-446,2021-08-04 21:29:45,mavantwout,"[""presence"",""single_run"",""4-year"",""20-step-ahead"",""3D-prediction"",""seed1"",""shifted30"",""20-predictions""]",266.548,1,KO,globalmean,985,0.007337190025731982,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
