Id,Creation Time,Owner,Tags,logs/imputation,Running Time,logs/company,logs/missingness,logs/seed,logs/smape (last)
EX1-54,2021-08-04 14:30:40,mavantwout,"[""20-predictions"",""4-year"",""no-extra-feature"",""seed0"",""single_run"",""20-step-ahead"",""1D-prediction"",""price_imputed""]",globalmean,97.406,MSFT,985,0,0.019165444468481806
EX1-53,2021-08-04 14:30:40,mavantwout,"[""single_run"",""20-predictions"",""4-year"",""price_imputed"",""1D-prediction"",""seed0"",""no-extra-feature"",""20-step-ahead""]",forwardfill,97.482,MSFT,985,0,0.07131460366313376
EX1-52,2021-08-04 14:30:36,mavantwout,"[""20-predictions"",""no-extra-feature"",""price_imputed"",""20-step-ahead"",""seed0"",""4-year"",""1D-prediction"",""single_run""]",cubicfit260,89.178,MSFT,985,0,0.02102564426638249
EX1-51,2021-08-04 14:30:31,mavantwout,"[""4-year"",""price_imputed"",""20-predictions"",""no-extra-feature"",""1D-prediction"",""seed0"",""single_run"",""20-step-ahead""]",linearfit260,84.758,MSFT,985,0,0.02200804250726184
EX1-50,2021-08-04 14:29:38,mavantwout,"[""5D-prediction"",""4-year"",""seed0"",""20-predictions"",""no-extra-feature"",""20-step-ahead"",""single_run"",""price_imputed""]",5_imputations_combined,114.945,MSFT,985,0,0.02126019859685109
EX1-49,2021-08-04 13:03:43,mavantwout,"[""no-extra-feature"",""price_imputed"",""20-step-ahead"",""single_run"",""seed4"",""20-predictions"",""4-year"",""1D-prediction""]",cubicfit260,1211.949,AAPL,985,4,0.03747680168504777
EX1-48,2021-08-04 12:43:02,mavantwout,"[""no-extra-feature"",""price_imputed"",""20-step-ahead"",""single_run"",""20-predictions"",""4-year"",""1D-prediction"",""seed3""]",cubicfit260,1240.464,AAPL,985,3,0.042453387266593326
EX1-47,2021-08-04 12:37:46,mavantwout,"[""4-year"",""single_run"",""20-step-ahead"",""1D-prediction"",""seed4"",""no-extra-feature"",""20-predictions"",""price_imputed""]",linearfit260,1143.872,AAPL,985,4,0.031062833132768763
EX1-46,2021-08-04 12:30:50,mavantwout,"[""price_imputed"",""4-year"",""seed4"",""1D-prediction"",""20-predictions"",""single_run"",""no-extra-feature"",""20-step-ahead""]",forwardfill,1143.107,AAPL,985,4,0.03319304510333511
EX1-45,2021-08-04 12:29:18,mavantwout,"[""4-year"",""price_imputed"",""20-step-ahead"",""20-predictions"",""no-extra-feature"",""single_run"",""1D-prediction"",""seed4""]",meanlast260,1035.833,AAPL,985,4,0.03038016585789493
EX1-44,2021-08-04 12:24:23,mavantwout,"[""single_run"",""20-step-ahead"",""price_imputed"",""4-year"",""seed4"",""1D-prediction"",""20-predictions"",""no-extra-feature""]",globalmean,1000.363,AAPL,985,4,0.036100938012332426
EX1-43,2021-08-04 12:22:23,mavantwout,"[""no-extra-feature"",""price_imputed"",""20-step-ahead"",""single_run"",""20-predictions"",""4-year"",""1D-prediction"",""seed2""]",cubicfit260,1238.563,AAPL,985,2,0.03897490607008629
EX1-42,2021-08-04 12:19:15,mavantwout,"[""5D-prediction"",""4-year"",""single_run"",""no-extra-feature"",""price_imputed"",""20-predictions"",""20-step-ahead"",""seed4""]",5_imputations_combined,1134.416,AAPL,985,4,0.02617744895327746
EX1-41,2021-08-04 12:18:32,mavantwout,"[""4-year"",""single_run"",""seed3"",""20-step-ahead"",""1D-prediction"",""no-extra-feature"",""20-predictions"",""price_imputed""]",linearfit260,1153.564,AAPL,985,3,0.028941603733137155
