Id,Creation Time,Owner,Tags,Running Time,logs/smape (average),logs/company,logs/imputation,logs/seed
EX5-134,2021-08-05 10:36:00,mavantwout,"[""20-step-ahead"",""presence"",""seed1"",""20-predictions"",""single_run"",""7D-prediction"",""quarterly"",""4-year""]",306.375,0.006946159242954331,KO,cubicfit260,1
EX5-133,2021-08-05 10:35:59,mavantwout,"[""7D-prediction"",""single_run"",""20-predictions"",""quarterly"",""20-step-ahead"",""presence"",""4-year"",""seed1""]",301.642,0.006056189659894748,KO,linearfit260,1
EX5-132,2021-08-05 10:31:38,mavantwout,"[""7D-prediction"",""4-year"",""20-step-ahead"",""quarterly"",""seed0"",""presence"",""20-predictions"",""single_run""]",332.105,0.006320166619680807,KO,meanlast260,0
EX5-130,2021-08-05 10:31:38,mavantwout,"[""20-step-ahead"",""4-year"",""quarterly"",""seed0"",""single_run"",""20-predictions"",""7D-prediction"",""presence""]",346.82,0.007033919683864765,KO,forwardfill,0
EX5-129,2021-08-05 10:31:38,mavantwout,"[""time-lag"",""quarterly"",""4-year"",""7D-prediction"",""20-predictions"",""single_run"",""seed0"",""20-step-ahead""]",346.746,0.006469653069214394,KO,cubicfit260,0
EX5-128,2021-08-05 10:31:38,mavantwout,"[""20-step-ahead"",""single_run"",""20-predictions"",""seed0"",""presence"",""7D-prediction"",""quarterly"",""4-year""]",336.55,0.006923411666387454,KO,globalmean,0
EX5-127,2021-08-05 10:31:38,mavantwout,"[""7D-prediction"",""time-lag"",""20-step-ahead"",""quarterly"",""seed0"",""20-predictions"",""single_run"",""4-year""]",366.632,0.006008003592896061,KO,meanlast260,0
EX5-125,2021-08-05 10:31:38,mavantwout,"[""quarterly"",""seed0"",""single_run"",""4-year"",""time-lag"",""7D-prediction"",""20-step-ahead"",""20-predictions""]",366.558,0.00925973661649158,KO,linearfit260,0
EX5-124,2021-08-05 10:31:38,mavantwout,"[""single_run"",""time-lag"",""seed0"",""20-step-ahead"",""quarterly"",""7D-prediction"",""20-predictions"",""4-year""]",331.462,0.005897094642691119,KO,globalmean,0
EX5-123,2021-08-05 10:30:56,mavantwout,"[""20-step-ahead"",""presence"",""20-predictions"",""seed0"",""single_run"",""7D-prediction"",""quarterly"",""4-year""]",302.968,0.045048785958619844,KO,cubicfit260,0
