Id,Creation Time,Owner,Tags,logs/company,logs/imputation,logs/seed
EX3-66,2021-08-04 19:15:20,mavantwout,"[""20-predictions"",""6D-prediction"",""seed0"",""single_run"",""4-year"",""no-extra-feature"",""quarterly"",""20-step-ahead""]",KO,meanlast260,0
EX3-65,2021-08-04 19:15:20,mavantwout,"[""4-year"",""no-extra-feature"",""single_run"",""quarterly"",""20-step-ahead"",""seed0"",""20-predictions"",""6D-prediction""]",KO,cubicfit260,0
EX3-64,2021-08-04 19:15:19,mavantwout,"[""single_run"",""quarterly"",""20-step-ahead"",""20-predictions"",""seed0"",""4-year"",""6D-prediction"",""no-extra-feature""]",KO,linearfit260,0
EX3-63,2021-08-04 19:15:13,mavantwout,"[""6D-prediction"",""seed0"",""quarterly"",""4-year"",""20-step-ahead"",""no-extra-feature"",""20-predictions"",""single_run""]",KO,globalmean,0
EX3-62,2021-08-04 19:14:40,mavantwout,"[""single_run"",""quarterly"",""20-step-ahead"",""20-predictions"",""no-extra-feature"",""seed0"",""4-year"",""6D-prediction""]",KO,forwardfill,0
EX3-61,2021-08-04 19:14:14,mavantwout,"[""4-year"",""quarterly"",""11D-prediction"",""20-step-ahead"",""seed0"",""no-extra-feature"",""20-predictions"",""single_run""]",KO,2_imputations_combined,0
EX3-60,2021-08-04 16:07:14,mavantwout,"[""20-step-ahead"",""no-extra-feature"",""quarterly"",""4-year"",""single_run"",""11D-prediction"",""seed4"",""20-predictions""]",MSFT,2_imputations_combined,4
EX3-59,2021-08-04 16:06:56,mavantwout,"[""no-extra-feature"",""seed4"",""4-year"",""20-step-ahead"",""single_run"",""quarterly"",""20-predictions"",""6D-prediction""]",MSFT,globalmean,4
EX3-58,2021-08-04 16:06:50,mavantwout,"[""seed4"",""quarterly"",""20-predictions"",""20-step-ahead"",""single_run"",""no-extra-feature"",""6D-prediction"",""4-year""]",MSFT,meanlast260,4
EX3-57,2021-08-04 16:06:37,mavantwout,"[""single_run"",""seed4"",""quarterly"",""6D-prediction"",""20-step-ahead"",""4-year"",""20-predictions"",""no-extra-feature""]",MSFT,cubicfit260,4
EX3-56,2021-08-04 16:06:37,mavantwout,"[""20-step-ahead"",""4-year"",""20-predictions"",""quarterly"",""6D-prediction"",""seed4"",""no-extra-feature"",""single_run""]",MSFT,forwardfill,4
EX3-55,2021-08-04 16:06:36,mavantwout,"[""20-predictions"",""20-step-ahead"",""no-extra-feature"",""6D-prediction"",""single_run"",""4-year"",""seed4"",""quarterly""]",MSFT,linearfit260,4
EX3-54,2021-08-04 16:05:27,mavantwout,"[""20-step-ahead"",""no-extra-feature"",""quarterly"",""4-year"",""single_run"",""11D-prediction"",""seed3"",""20-predictions""]",MSFT,2_imputations_combined,3
EX3-53,2021-08-04 16:05:15,mavantwout,"[""seed3"",""no-extra-feature"",""4-year"",""20-step-ahead"",""single_run"",""quarterly"",""20-predictions"",""6D-prediction""]",MSFT,globalmean,3
EX3-52,2021-08-04 16:05:09,mavantwout,"[""quarterly"",""20-predictions"",""seed3"",""20-step-ahead"",""single_run"",""no-extra-feature"",""6D-prediction"",""4-year""]",MSFT,meanlast260,3
EX3-51,2021-08-04 16:05:01,mavantwout,"[""single_run"",""quarterly"",""6D-prediction"",""20-step-ahead"",""4-year"",""20-predictions"",""seed3"",""no-extra-feature""]",MSFT,cubicfit260,3
