Id,Creation Time,Owner,Tags,logs/missingness,logs/seed,logs/imputation,logs/company,logs/smape (last),Running Time,properties/data
EX2-152,2021-08-04 16:03:22,mavantwout,"[""shifted30"",""seed2"",""20-predictions"",""2D-prediction"",""4-year"",""20-step-ahead"",""single_run""]",90,2,globalmean,MSFT,0.025909428816074297,96.416,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-151,2021-08-04 16:03:18,mavantwout,"[""single_run"",""20-step-ahead"",""4-year"",""2D-prediction"",""shifted30"",""seed2"",""20-predictions""]",90,2,forwardfill,MSFT,0.06800019158666856,91.395,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-150,2021-08-04 16:02:00,mavantwout,"[""seed1"",""shifted30"",""single_run"",""2D-prediction"",""4-year"",""20-predictions"",""20-step-ahead""]",90,1,cubicfit260,MSFT,0.017281261901224226,106.264,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-149,2021-08-04 16:02:00,mavantwout,"[""20-step-ahead"",""seed1"",""single_run"",""4-year"",""20-predictions"",""shifted30"",""2D-prediction""]",90,1,linearfit260,MSFT,0.07427374399483047,106.335,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-148,2021-08-04 16:01:51,mavantwout,"[""20-step-ahead"",""4-year"",""single_run"",""seed1"",""20-predictions"",""shifted30"",""2D-prediction""]",90,1,meanlast260,MSFT,0.060612784406070055,101.465,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-147,2021-08-04 16:01:50,mavantwout,"[""seed1"",""2D-prediction"",""single_run"",""20-predictions"",""4-year"",""shifted30"",""20-step-ahead""]",33,1,linearfit260,MSFT,0.026730710840913142,96.488,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-146,2021-08-04 16:01:50,mavantwout,"[""20-step-ahead"",""seed1"",""20-predictions"",""shifted30"",""2D-prediction"",""single_run"",""4-year""]",33,1,meanlast260,MSFT,0.016510396556665856,96.323,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-145,2021-08-04 16:01:50,mavantwout,"[""4-year"",""20-predictions"",""2D-prediction"",""single_run"",""shifted30"",""seed1"",""20-step-ahead""]",33,1,globalmean,MSFT,0.08008319948019002,101.48,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-144,2021-08-04 16:01:50,mavantwout,"[""20-predictions"",""single_run"",""20-step-ahead"",""2D-prediction"",""shifted30"",""seed1"",""4-year""]",33,1,cubicfit260,MSFT,0.027020349920120923,101.623,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-143,2021-08-04 16:01:45,mavantwout,"[""seed1"",""single_run"",""20-step-ahead"",""4-year"",""2D-prediction"",""shifted30"",""20-predictions""]",90,1,forwardfill,MSFT,0.0841081803191315,92.211,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-142,2021-08-04 16:01:45,mavantwout,"[""shifted30"",""20-predictions"",""2D-prediction"",""4-year"",""seed1"",""20-step-ahead"",""single_run""]",90,1,globalmean,MSFT,0.023135642258383063,92.211,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-141,2021-08-04 16:00:03,mavantwout,"[""seed0"",""2D-prediction"",""single_run"",""20-predictions"",""4-year"",""shifted30"",""20-step-ahead""]",33,0,linearfit260,MSFT,0.025948127003360362,106.526,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-140,2021-08-04 16:00:03,mavantwout,"[""20-step-ahead"",""20-predictions"",""shifted30"",""2D-prediction"",""single_run"",""seed0"",""4-year""]",33,0,meanlast260,MSFT,0.019793402563612776,106.772,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-139,2021-08-04 16:00:03,mavantwout,"[""4-year"",""20-predictions"",""2D-prediction"",""single_run"",""shifted30"",""20-step-ahead"",""seed0""]",33,0,globalmean,MSFT,0.03939399016953169,106.913,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-137,2021-08-04 16:00:03,mavantwout,"[""20-step-ahead"",""seed0"",""single_run"",""4-year"",""20-predictions"",""shifted30"",""2D-prediction""]",90,0,linearfit260,MSFT,0.021821660080331977,111.768,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-136,2021-08-04 16:00:03,mavantwout,"[""20-predictions"",""single_run"",""20-step-ahead"",""2D-prediction"",""shifted30"",""seed0"",""4-year""]",33,0,cubicfit260,MSFT,0.027940847934326784,106.642,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-135,2021-08-04 16:00:03,mavantwout,"[""seed0"",""shifted30"",""single_run"",""2D-prediction"",""4-year"",""20-predictions"",""20-step-ahead""]",90,0,cubicfit260,MSFT,0.01921117744207973,111.705,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-134,2021-08-04 16:00:03,mavantwout,"[""20-step-ahead"",""4-year"",""single_run"",""20-predictions"",""shifted30"",""2D-prediction"",""seed0""]",90,0,meanlast260,MSFT,0.021767370739191737,106.852,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-133,2021-08-04 16:00:03,mavantwout,"[""shifted30"",""20-predictions"",""seed0"",""2D-prediction"",""4-year"",""20-step-ahead"",""single_run""]",90,0,globalmean,MSFT,0.024990717362648823,101.895,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-132,2021-08-04 16:00:03,mavantwout,"[""seed0"",""single_run"",""20-step-ahead"",""4-year"",""2D-prediction"",""shifted30"",""20-predictions""]",90,0,forwardfill,MSFT,0.01662213782854652,101.849,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-131,2021-08-04 15:59:27,mavantwout,"[""single_run"",""shifted30"",""20-predictions"",""seed4"",""2D-prediction"",""20-step-ahead"",""4-year""]",985,4,cubicfit260,MSFT,0.023271650994733672,106.625,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-130,2021-08-04 15:57:39,mavantwout,"[""single_run"",""shifted30"",""20-predictions"",""seed3"",""2D-prediction"",""20-step-ahead"",""4-year""]",985,3,cubicfit260,MSFT,0.06139830171547998,106.592,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-129,2021-08-04 15:55:53,mavantwout,"[""single_run"",""shifted30"",""20-predictions"",""seed2"",""2D-prediction"",""20-step-ahead"",""4-year""]",985,2,cubicfit260,MSFT,0.021354984673188727,106.296,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-128,2021-08-04 15:54:06,mavantwout,"[""single_run"",""shifted30"",""20-predictions"",""2D-prediction"",""20-step-ahead"",""seed1"",""4-year""]",985,1,cubicfit260,MSFT,0.014406822736348818,106.099,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
EX2-127,2021-08-04 15:52:14,mavantwout,"[""single_run"",""shifted30"",""20-predictions"",""seed0"",""2D-prediction"",""20-step-ahead"",""4-year""]",985,0,cubicfit260,MSFT,0.1474290277163535,111.514,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/MSFT_Shifted_30ahead_m985.csv
