Date,Close,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,EnterprisesValueEBITDARatio,EnterpriseValue_forwardfill,EnterpriseValue_globalmean,EnterpriseValue_meanlast260,EnterpriseValue_linearfit260,EnterpriseValue_cubicfit260,PeRatio_forwardfill,PeRatio_globalmean,PeRatio_meanlast260,PeRatio_linearfit260,PeRatio_cubicfit260,ForwardPeRatio_forwardfill,ForwardPeRatio_globalmean,ForwardPeRatio_meanlast260,ForwardPeRatio_linearfit260,ForwardPeRatio_cubicfit260,PegRatio_forwardfill,PegRatio_globalmean,PegRatio_meanlast260,PegRatio_linearfit260,PegRatio_cubicfit260,EnterprisesValueEBITDARatio_forwardfill,EnterprisesValueEBITDARatio_globalmean,EnterprisesValueEBITDARatio_meanlast260,EnterprisesValueEBITDARatio_linearfit260,EnterprisesValueEBITDARatio_cubicfit260,missing-1or1,time_lag
2018-09-12,46.24000168,,,,,,214110580000.0,212679317743.0,214389496614.5,213110207975.19058,232083097352.21497,141.484,75.64966666666668,98.45750000000001,190.17719435592863,-154.59431538072317,20.877,22.254500000000004,21.7745,20.046728955623607,26.466666558787058,2.692,3.931666666666666,3.37,2.1497538530210396,5.6932823603351945,62.844,94.5775,99.67525,62.28306214430067,155.52991131590602,-1,51
2018-09-13,45.83000183,,,,,,214110580000.0,212679317743.0,214389496614.5,213101490505.75748,232641347132.5943,141.484,75.64966666666668,98.45750000000001,190.80220079106272,-163.9045158464578,20.877,22.254500000000004,21.7745,20.034955388029903,26.644455294001407,2.692,3.931666666666666,3.37,2.141438717436856,5.790072160638383,62.844,94.5775,99.67525,62.02826018276268,158.8914183228659,-1,52
2018-09-14,45.99000168,,,,,,214110580000.0,212679317743.0,214389496614.5,213092773036.32437,233208604420.66833,141.484,75.64966666666668,98.45750000000001,191.42720722619686,-173.36756182319778,20.877,22.254500000000004,21.7745,20.023181820436196,26.825224581159734,2.692,3.931666666666666,3.37,2.133123581852672,5.88852109193291,62.844,94.5775,99.67525,61.7734582212247,162.32165781936476,-1,53
2018-09-17,46.31999969,,,,,,214110580000.0,212679317743.0,214389496614.5,213084055566.89127,233784930931.35883,141.484,75.64966666666668,98.45750000000001,192.05221366133094,-182.98447487839758,20.877,22.254500000000004,21.7745,20.01140825284249,27.008994682062646,2.692,3.931666666666666,3.37,2.1248084462684886,5.9886404668730595,62.844,94.5775,99.67525,61.51865625968672,165.82115863384763,-1,54
2018-09-18,45.93000031,,,,,,214110580000.0,212679317743.0,214389496614.5,213075338097.45813,234370388379.5876,141.484,75.64966666666668,98.45750000000001,192.67722009646502,-192.75627657951145,20.877,22.254500000000004,21.7745,19.999634685248786,27.195785858510735,2.692,3.931666666666666,3.37,2.1164933106843047,6.090441598113147,62.844,94.5775,99.67525,61.26385429814873,169.39044959475495,-1,55
2018-09-19,45.95999908,,,,,,214110580000.0,212679317743.0,214389496614.5,213066620628.02502,234965038480.2762,141.484,75.64966666666668,98.45750000000001,193.3022265315991,-202.68398849399682,20.877,22.254500000000004,21.7745,19.98786111765508,27.385618372304524,2.692,3.931666666666666,3.37,2.108178175100121,6.19393579830742,62.844,94.5775,99.67525,61.00905233661075,173.03005953053048,-1,56
2018-09-20,46.63999939,,,,,,214110580000.0,212679317743.0,214389496614.5,213057903158.59192,235568942948.3465,141.484,75.64966666666668,98.45750000000001,193.92723296673324,-212.7686321893093,20.877,22.254500000000004,21.7745,19.976087550061372,27.578512485244705,2.692,3.931666666666666,3.37,2.0998630395159372,6.299134380110209,62.844,94.5775,99.67525,60.75425037507276,176.7405172696151,-1,57
2018-09-21,46.58000183,,,,,,214110580000.0,212679317743.0,214389496614.5,213049185689.1588,236182163498.7202,141.484,75.64966666666668,98.45750000000001,194.55223940186733,-223.01122923290472,20.877,22.254500000000004,21.7745,19.964313982467665,27.774488459131806,2.692,3.931666666666666,3.37,2.0915479039317537,6.406048656175793,62.844,94.5775,99.67525,60.49944841353478,180.52235164045283,-1,58
2018-09-24,46.06999969,,,,,,214110580000.0,212679317743.0,214389496614.5,213040468219.72568,236804761846.3189,141.484,75.64966666666668,98.45750000000001,195.1772458370014,-233.41280119223734,20.877,22.254500000000004,21.7745,19.95254041487396,27.97356655576638,2.692,3.931666666666666,3.37,2.08323276834757,6.514689939158464,62.844,94.5775,99.67525,60.244646451996786,184.37609147148373,-1,59
2018-09-25,45.68000031,,,,,,214110580000.0,212679317743.0,214389496614.5,213031750750.29257,237436799706.06445,141.484,75.64966666666668,98.45750000000001,195.8022522721355,-243.97436963476457,20.877,22.254500000000004,21.7745,19.94076684728025,28.175767036949107,2.692,3.931666666666666,3.37,2.0749176327633863,6.6250695417125005,62.844,94.5775,99.67525,59.98984449045881,188.30226559115363,-1,60
2018-09-26,45.84999847,,,,,,214110580000.0,212679317743.0,214389496614.5,213023033280.85947,238078338792.87842,141.484,75.64966666666668,98.45750000000001,196.42725870726963,-254.6969561279434,20.877,22.254500000000004,21.7745,19.928993279686544,28.381110164480514,2.692,3.931666666666666,3.37,2.0666024971792027,6.737198776492191,62.844,94.5775,99.67525,59.73504252892083,192.3014028279017,-1,61
2018-09-27,46.00999832,,,,,,214110580000.0,212679317743.0,214389496614.5,213014315811.42636,238729440821.68262,141.484,75.64966666666668,98.45750000000001,197.0522651424037,-265.5815822392253,20.877,22.254500000000004,21.7745,19.91721971209284,28.589616200161156,2.692,3.931666666666666,3.37,2.058287361595019,6.851088956151846,62.844,94.5775,99.67525,59.480240567382836,196.3740320101724,-1,62
2018-09-28,46.18999863,,,,,,214110580000.0,212679317743.0,214389496614.5,213005598341.99323,239390167507.39883,141.484,75.64966666666668,98.45750000000001,197.6772715775378,-276.62926953606916,20.877,22.254500000000004,21.7745,19.905446144499134,28.80130540579172,2.692,3.931666666666666,3.37,2.0499722260108353,6.9667513933457155,62.844,94.5775,99.67525,59.22543860584486,200.52068196640653,-1,63
2018-09-30,46.18999863,224031640000.0,88.827,20.661,2.679,67.745,224031640000.0,224031640000.0,224031640000.0,224031640000.0,224031640000.0,88.827,88.827,88.827,88.827,88.827,20.661,20.661,20.661,20.661,20.661,2.679,2.679,2.679,2.679,2.679,67.745,67.745,67.745,67.745,67.745,1,0
2018-10-01,46.22999954,,,,,,224031640000.0,214301078065.42856,216317925291.6,219671324418.7216,224553751354.53415,88.827,77.53214285714286,96.5314,132.62398758957875,81.16417673796246,20.661,22.026857142857146,21.5518,20.346628022514203,20.796731766033993,2.679,3.752714285714285,3.2318,2.419346328624797,2.7548044247729773,67.745,90.74428571428572,93.2892,64.02999536703892,70.69045082555135,-1,1
2018-10-02,46.50999832,,,,,,224031640000.0,214301078065.42856,216317925291.6,219697360126.2303,224861175303.19214,88.827,77.53214285714286,96.5314,132.904209542914,78.61074300455863,20.661,22.026857142857146,21.5518,20.337271097223166,20.818686738503303,2.679,3.752714285714285,3.2318,2.413038458505424,2.770716986386197,67.745,90.74428571428572,93.2892,63.80282762920537,71.79276592040799,-1,2
2018-10-03,45.86999893,,,,,,224031640000.0,214301078065.42856,216317925291.6,219723395833.739,225173324328.5585,88.827,77.53214285714286,96.5314,133.18443149624926,76.0110992798862,20.661,22.026857142857146,21.5518,20.327914171932125,20.841223310123485,2.679,3.752714285714285,3.2318,2.4067305883860515,2.787032671741778,67.745,90.74428571428572,93.2892,63.575659891371814,72.92723127542001,-1,3
2018-10-04,45.84999847,,,,,,224031640000.0,214301078065.42856,216317925291.6,219749431541.2477,225490229118.65015,88.827,77.53214285714286,96.5314,133.4646534495845,73.36495310539783,20.661,22.026857142857146,21.5518,20.318557246641088,20.864345569702756,2.679,3.752714285714285,3.2318,2.400422718266679,2.803754266440127,67.745,90.74428571428572,93.2892,63.348492153538274,74.09411053686426,-1,4
2018-10-05,45.88000107,,,,,,224031640000.0,214301078065.42856,216317925291.6,219775467248.75644,225811920361.48428,88.827,77.53214285714286,96.5314,133.74487540291972,70.67201202254631,20.661,22.026857142857146,21.5518,20.309200321350048,20.888057606049355,2.679,3.752714285714285,3.2318,2.3941148481473062,2.8208845560816505,67.745,90.74428571428572,93.2892,63.12132441570472,75.2936673510153,-1,5
2018-10-08,46.47999954,,,,,,224031640000.0,214301078065.42856,216835751614.5,220479769650.3644,225366501208.90338,88.827,77.53214285714286,108.8195,126.63887594576016,86.0716997053014,20.661,22.026857142857146,21.283749999999998,20.235320895155752,20.5099908487443,2.679,3.752714285714285,3.03975,2.3691278127149458,2.6262792313213765,67.745,90.74428571428572,92.03075,49.84652871671423,69.92861983138613,-1,6
2018-10-09,46.38999939,,,,,,224031640000.0,214301078065.42856,216835751614.5,220515495317.3827,225595784220.62936,88.827,77.53214285714286,108.8195,126.81357570993428,85.68293482295394,20.661,22.026857142857146,21.283749999999998,20.225042178441594,20.481688331065307,2.679,3.752714285714285,3.03975,2.362553085388622,2.616182721299154,67.745,90.74428571428572,92.03075,49.43295791981927,70.32191879515932,-1,7
2018-10-10,45.68000031,,,,,,224031640000.0,214301078065.42856,216835751614.5,220551220984.40094,225827013780.03314,88.827,77.53214285714286,108.8195,126.9882754741084,85.31539672416557,20.661,22.026857142857146,21.283749999999998,20.214763461727433,20.452459547048477,2.679,3.752714285714285,3.03975,2.355978358062298,2.6056974765954983,67.745,90.74428571428572,92.03075,49.019387122924314,70.72362716287898,-1,8
2018-10-11,44.63999939,,,,,,224031640000.0,214301078065.42856,216835751614.5,220586946651.41922,226060190612.82513,88.827,77.53214285714286,108.8195,127.16297523828251,84.96949704204144,20.661,22.026857142857146,21.283749999999998,20.204484745013275,20.422292967438963,2.679,3.752714285714285,3.03975,2.349403630735974,2.594818048338009,67.745,90.74428571428572,92.03075,48.605816326029355,71.13375249760941,-1,9
2018-10-12,44.68000031,,,,,,224031640000.0,214301078065.42856,216835751614.5,220622672318.4375,226295315444.71573,88.827,77.53214285714286,108.8195,127.33767500245663,84.64564740969263,20.661,22.026857142857146,21.283749999999998,20.194206028299114,20.39117706298186,2.679,3.752714285714285,3.03975,2.3428289034096497,2.583538987654311,67.745,90.74428571428572,92.03075,48.1922455291344,71.55230236241545,-1,10
2018-10-15,44.90999985,,,,,,224031640000.0,214301078065.42856,216835751614.5,220658397985.45578,226532389001.41528,88.827,77.53214285714286,108.8195,127.51237476663076,84.34425946022975,20.661,22.026857142857146,21.283749999999998,20.183927311584956,20.35910030442215,2.679,3.752714285714285,3.03975,2.3362541760833255,2.571854845671975,67.745,90.74428571428572,92.03075,47.77867473223944,71.9792843203615,-1,11
2018-10-16,45.49000168,,,,,,224031640000.0,214301078065.42856,216835751614.5,220694123652.47406,226771412008.63416,88.827,77.53214285714286,108.8195,127.68707453080488,84.06574482675751,20.661,22.026857142857146,21.283749999999998,20.173648594870798,20.326051162504996,2.679,3.752714285714285,3.03975,2.3296794487570014,2.559760173518569,67.745,90.74428571428572,92.03075,47.36510393534448,72.41470593451243,-1,12
2018-10-17,45.86000061,,,,,,224031640000.0,214301078065.42856,216835751614.5,220729849319.49234,227012385192.08282,88.827,77.53214285714286,108.8195,127.86177429497899,83.81051514238834,20.661,22.026857142857146,21.283749999999998,20.163369878156637,20.2920181079755,2.679,3.752714285714285,3.03975,2.3231047214306777,2.5472495223217066,67.745,90.74428571428572,92.03075,46.95153313844952,72.85857476793262,-1,13
2018-10-18,45.61000061,,,,,,224031640000.0,214301078065.42856,216835751614.5,220765574986.51062,227255309277.47162,88.827,77.53214285714286,108.8195,128.0364740591531,83.57898204023013,20.661,22.026857142857146,21.283749999999998,20.153091161442475,20.256989611578753,2.679,3.752714285714285,3.03975,2.3165299941043536,2.534317443208991,67.745,90.74428571428572,92.03075,46.53796234155456,73.31089838368689,-1,14
2018-10-19,46.33000183,,,,,,224031640000.0,214301078065.42856,216835751614.5,220801300653.5289,227500184990.5109,88.827,77.53214285714286,108.8195,128.21117382332721,83.37155715338986,20.661,22.026857142857146,21.283749999999998,20.142812444728317,20.22095414405974,2.679,3.752714285714285,3.03975,2.3099552667780294,2.5209584873080004,67.745,90.74428571428572,92.03075,46.1243915446596,73.7716843448398,-1,15
2018-10-22,45.97000122,,,,,,224031640000.0,214301078065.42856,216835751614.5,220837026320.54718,227747013056.9111,88.827,77.53214285714286,108.8195,128.38587358750135,83.1886521149786,20.661,22.026857142857146,21.283749999999998,20.13253372801416,20.18390017616362,2.679,3.752714285714285,3.03975,2.3033805394517053,2.5071672057463097,67.745,90.74428571428572,92.03075,45.71082074776464,74.24094021445586,-1,16
