Close_ahead30,Close_ahead30_missing30
108.5199966,108.5199966
109.1900024,
104.8199997,104.8199997
107.5899963,107.5899963
108.5899963,
109.0800018,109.0800018
109.4499969,109.4499969
106.0299988,
102.8899994,102.8899994
103.9700012,103.9700012
103.6900024,
101.5100021,101.5100021
98.23000336,98.23000336
94.12999725,
100.5599976,100.5599976
101.1800003,101.1800003
100.3899994,
101.5699997,101.5699997
101.1200027,101.1200027
97.40000153,
101.9300003,101.9300003
102.0599976,102.0599976
102.8000031,
104.2699966,104.2699966
103.5999985,103.5999985
102.8000031,
102.0500031,102.0500031
105.0100021,105.0100021
105.3799973,
106.1200027,106.1200027
107.7099991,107.7099991
105.6800003,
106.7099991,106.7099991
106.1999969,106.1999969
107.1699982,
105.0800018,105.0800018
102.9400024,102.9400024
106.3799973,
104.4300003,104.4300003
102.7799988,102.7799988
105.7399979,
107.2200012,107.2200012
106.0299988,106.0299988
105.2699966,
105.6699982,105.6699982
105.25,105.25
106.8899994,
106.8099976,106.8099976
106.9000015,106.9000015
108.2200012,
108.1699982,108.1699982
107.1500015,107.1500015
109.4100037,
110.9700012,110.9700012
111.5899963,111.5899963
112.3600006,
112.1699982,112.1699982
112.0299988,112.0299988
112.5299988,
112.2600021,112.2600021
111.6999969,111.6999969
111.75,
110.3899994,110.3899994
110.5100021,110.5100021
112.8300018,
113.6200027,113.6200027
114.5,114.5
114.5899963,
115.9100037,115.9100037
117.5699997,117.5699997
117.6500015,
117.5199966,117.5199966
120.2200012,120.2200012
117.0500031,
117.6600037,117.6600037
117.9100037,117.9100037
116.7699966,
116.9300003,116.9300003
117.9400024,117.9400024
119.0199966,
119.1900024,119.1900024
119.9700012,119.9700012
119.3600006,
119.8899994,119.8899994
119.9300003,119.9300003
119.2799988,
120.1900024,120.1900024
120.3300018,120.3300018
120.9499969,
121.0500031,121.0500031
120.7699966,120.7699966
121.7699966,
123.3700027,123.3700027
123.7600021,123.7600021
125.4400024,
125.0100021,125.0100021
129.1499939,129.1499939
129.8899994,
129.7700043,129.7700043
130.6000061,130.6000061
127.8799973,
126.2099991,126.2099991
128.8999939,128.8999939
128.1499939,
125.5199966,125.5199966
125.5100021,125.5100021
125.5,
127.1299973,127.1299973
123.3499985,123.3499985
124.7300034,
126.0199966,126.0199966
128.9299927,128.9299927
128.0700073,
126.2200012,126.2200012
126.9000015,126.9000015
127.6699982,
126.1800003,126.1800003
126.2399979,126.2399979
126.1600037,
124.9400024,124.9400024
125.7300034,125.7300034
123.6800003,
119.8399963,119.8399963
123.1600037,123.1600037
125.8300018,
127.8199997,127.8199997
131.3999939,131.3999939
132.6000061,
132.1000061,132.1000061
131.4900055,131.4900055
132.3200073,
132.4499969,132.4499969
132.8500061,132.8500061
135.1600037,
135.6900024,135.6900024
136.9499969,136.9499969
136.9700012,
137.7799988,137.7799988
133.4299927,133.4299927
133.9299927,
134.1499939,134.1499939
133.9600067,133.9600067
135.6799927,
136.5800018,136.5800018
137.4600067,137.4600067
137.0599976,
136.9600067,136.9600067
136.4600067,136.4600067
137.8500061,
138.3999939,138.3999939
138.8999939,138.8999939
138.8999939,
137.0800018,137.0800018
136.2700043,136.2700043
136.4199982,
136.6199951,136.6199951
138.4299927,138.4299927
139.2899933,
140.7200012,140.7200012
140.1900024,140.1900024
141.3399963,
141.0299988,141.0299988
140.3500061,140.3500061
136.2700043,
138.0599976,138.0599976
136.8999939,136.8999939
132.2100067,
134.6900024,134.6900024
135.2799988,135.2799988
138.8899994,
137.7100067,137.7100067
135.7899933,135.7899933
138.6000061,
133.9799957,133.9799957
133.6799927,133.6799927
136.1300049,
138.4100037,138.4100037
137.2599945,137.2599945
138.7899933,
137.7799988,137.7799988
133.3899994,133.3899994
135.4499969,
135.7400055,135.7400055
135.5599976,135.5599976
138.1199951,
137.8600006,137.8600006
136.0399933,136.0399933
137.6300049,
140.0500031,140.0500031
139.1000061,139.1000061
137.5200043,
136.0800018,136.0800018
136.1199951,136.1199951
137.5200043,
137.3200073,137.3200073
136.3300018,136.3300018
137.3899994,
138.5200043,138.5200043
141.0700073,141.0700073
139.4400024,
139.1399994,139.1399994
137.3800049,137.3800049
139.3600006,
139.5399933,139.5399933
137.7299957,137.7299957
139.0299988,
137.0700073,137.0700073
134.6499939,134.6499939
136.2799988,
138.1199951,138.1199951
137.1199951,137.1199951
135.6699982,
138.2400055,138.2400055
139.1000061,139.1000061
139.6799927,
139.5500031,139.5500031
141.5700073,141.5700073
140.4100037,
139.6900024,139.6900024
137.4100037,137.4100037
138.4299927,
136.3699951,136.3699951
137.2400055,137.2400055
139.9400024,
140.7299957,140.7299957
144.1900024,144.1900024
142.8300018,
144.6100006,144.6100006
143.3699951,143.3699951
143.7200012,
144.5500031,144.5500031
144.4600067,144.4600067
144.0599976,
144.2599945,144.2599945
145.9600067,145.9600067
146.1100006,
147.0700073,147.0700073
147.3099976,147.3099976
148.0599976,
149.9700012,149.9700012
150.3399963,150.3399963
150.3899994,
149.6199951,149.6199951
149.4799957,149.4799957
149.5899963,
151.2299957,151.2299957
152.0299988,152.0299988
152.3200073,
151.3800049,151.3800049
149.5500031,149.5500031
149.3099976,
149.8500061,149.8500061
149.9299927,149.9299927
151.75,
151.3600006,151.3600006
151.1300049,151.1300049
151.6999969,
153.2400055,153.2400055
154.5299988,154.5299988
155.5299988,
154.6900024,154.6900024
154.3699951,154.3699951
155.7100067,
157.4100037,157.4100037
157.4100037,157.4100037
157.3800049,
158.6699982,158.6699982
158.9600067,158.9600067
157.5899963,
157.6999969,157.6999969
160.6199951,160.6199951
158.6199951,
159.0299988,159.0299988
157.5800018,157.5800018
160.0899963,
162.0899963,162.0899963
161.3399963,161.3399963
163.2799988,
162.1300049,162.1300049
163.1799927,163.1799927
166.1699982,
167.1000061,167.1000061
166.5,166.5
165.6999969,
166.7200012,166.7200012
165.0399933,165.0399933
162.2799988,
165.4600067,165.4600067
168.0399933,168.0399933
172.7799988,
170.2299957,170.2299957
174.3800049,174.3800049
180.1199951,
179.8999939,179.8999939
